avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
47.6,3.6,1,1,0.1,2,2,2,5,148.42,253.4
46.4,2.22,1,2,0.1,2,2,2,5,141.3,128.64
45.96,1.78,1,3,0.1,2,2,2,5,140.22,83.27333333333333
46.3,2.04,1,4,0.1,2,2,2,5,140.56,63.760000000000005
48.7,2.12,1,5,0.1,2,2,2,5,149.14,53.412
47.8,1.82,1,6,0.1,2,2,2,5,149.7,41.47666666666667
48.78,2.02,1,7,0.1,2,2,2,5,149.46,37.65714285714286
48.78,2.02,1,8,0.1,2,2,2,5,147.8,33.42999999999999
47.62,2.02,1,9,0.1,2,2,2,5,147.16,28.846666666666668
48.18,2.12,1,10,0.1,2,2,2,5,148.8,26.518
47.94,3.36,2,1,0.1,2,2,2,5,72.91,258.12
47.44,1.4,2,2,0.1,2,2,2,5,73.59,128.54999999999998
47.32,0.86,2,3,0.1,2,2,2,5,72.61,86.92666666666666
46.3,0.8,2,4,0.1,2,2,2,5,71.14,61.605
47.04,0.72,2,5,0.1,2,2,2,5,70.9,50.716
48.2,0.8,2,6,0.1,2,2,2,5,74.80000000000001,44.20666666666667
47.58,0.78,2,7,0.1,2,2,2,5,72.77000000000001,36.52857142857143
47.92,0.7,2,8,0.1,2,2,2,5,71.37,32.61500000000001
48.04,0.78,2,9,0.1,2,2,2,5,72.06,29.026666666666667
48.94,0.72,2,10,0.1,2,2,2,5,74.7,26.088
49.22,3.42,3,1,0.1,2,2,2,5,50.01333333333333,268.58
48.64,1.48,3,2,0.1,2,2,2,5,50.22666666666667,134.12
47.58,0.52,3,3,0.1,2,2,2,5,48.94,85.44
48.04,0.18,3,4,0.1,2,2,2,5,48.66,65.57000000000001
49.34,0.08,3,5,0.1,2,2,2,5,49.84,53.464
48.78,0.2,3,6,0.1,2,2,2,5,49.28,44.31999999999999
48.52,0.14,3,7,0.1,2,2,2,5,49.46,38.502857142857145
48.76,0.08,3,8,0.1,2,2,2,5,49.77333333333333,32.9825
48.04,0.04,3,9,0.1,2,2,2,5,49.080000000000005,29.10888888888889
47.76,0.06,3,10,0.1,2,2,2,5,48.98666666666667,26.137999999999998
48.32,3.6,4,1,0.1,2,2,2,5,36.9,259.48
48.0,1.54,4,2,0.1,2,2,2,5,36.25,127.67
48.38,0.48,4,3,0.1,2,2,2,5,36.795,87.74666666666667
48.5,0.08,4,4,0.1,2,2,2,5,36.935,64.975
49.32,0.0,4,5,0.1,2,2,2,5,38.15,53.14799999999999
49.02,0.0,4,6,0.1,2,2,2,5,37.544999999999995,44.04666666666666
47.76,0.0,4,7,0.1,2,2,2,5,36.565,37.60857142857143
48.82,0.0,4,8,0.1,2,2,2,5,37.580000000000005,32.8025
49.34,0.0,4,9,0.1,2,2,2,5,37.815000000000005,29.64444444444444
48.58,0.0,4,10,0.1,2,2,2,5,36.875,26.21
47.64,3.12,5,1,0.1,2,2,2,5,29.612000000000002,255.82
48.52,1.56,5,2,0.1,2,2,2,5,29.72,130.82
49.02,0.48,5,3,0.1,2,2,2,5,29.964000000000006,89.38666666666666
47.02,0.02,5,4,0.1,2,2,2,5,29.312000000000005,62.265
49.5,0.0,5,5,0.1,2,2,2,5,30.235999999999997,54.576
47.72,0.0,5,6,0.1,2,2,2,5,29.568,43.98
49.28,0.0,5,7,0.1,2,2,2,5,30.324,37.92857142857143
48.12,0.0,5,8,0.1,2,2,2,5,29.252000000000002,32.5725
48.9,0.0,5,9,0.1,2,2,2,5,29.9,29.508888888888894
48.54,0.0,5,10,0.1,2,2,2,5,29.964,26.894
49.48,3.52,6,1,0.1,2,2,2,5,25.693333333333328,266.86
48.2,1.52,6,2,0.1,2,2,2,5,24.44333333333334,133.03
48.78,0.6,6,3,0.1,2,2,2,5,25.11666666666667,87.54
48.54,0.02,6,4,0.1,2,2,2,5,24.91666666666667,68.065
48.98,0.0,6,5,0.1,2,2,2,5,25.083333333333332,52.85600000000001
48.5,0.0,6,6,0.1,2,2,2,5,25.03333333333333,44.046666666666674
48.52,0.0,6,7,0.1,2,2,2,5,24.853333333333335,37.95142857142857
49.14,0.0,6,8,0.1,2,2,2,5,25.076666666666664,33.93500000000001
47.66,0.0,6,9,0.1,2,2,2,5,24.023333333333337,29.54444444444444
47.6,0.0,6,10,0.1,2,2,2,5,24.77666666666667,25.782
47.96,3.52,7,1,0.1,2,2,2,5,21.31142857142857,261.88
48.36,1.82,7,2,0.1,2,2,2,5,21.01142857142857,135.09
47.94,0.48,7,3,0.1,2,2,2,5,21.048571428571428,86.05333333333334
47.58,0.08,7,4,0.1,2,2,2,5,20.948571428571427,65.07000000000001
49.1,0.02,7,5,0.1,2,2,2,5,21.528571428571432,53.803999999999995
48.82,0.0,7,6,0.1,2,2,2,5,21.32571428571428,44.48999999999999
47.74,0.0,7,7,0.1,2,2,2,5,20.537142857142857,36.94285714285714
48.6,0.0,7,8,0.1,2,2,2,5,21.30285714285714,32.87
46.78,0.0,7,9,0.1,2,2,2,5,20.382857142857144,28.435555555555556
47.7,0.0,7,10,0.1,2,2,2,5,20.557142857142857,25.058
49.3,3.52,8,1,0.1,2,2,2,5,19.025,265.04
47.66,1.56,8,2,0.1,2,2,2,5,18.465000000000003,129.8
50.22,0.54,8,3,0.1,2,2,2,5,19.245,91.08666666666666
48.44,0.06,8,4,0.1,2,2,2,5,18.314999999999998,65.305
47.32,0.0,8,5,0.1,2,2,2,5,18.15,51.94799999999999
47.72,0.0,8,6,0.1,2,2,2,5,18.202499999999997,42.220000000000006
48.0,0.0,8,7,0.1,2,2,2,5,18.245,37.551428571428566
47.84,0.0,8,8,0.1,2,2,2,5,18.5625,32.8
47.72,0.0,8,9,0.1,2,2,2,5,18.1375,28.488888888888887
49.92,0.0,8,10,0.1,2,2,2,5,19.1175,26.558
47.58,3.14,9,1,0.1,2,2,2,5,16.07111111111111,254.04
46.7,1.48,9,2,0.1,2,2,2,5,15.862222222222222,124.31
49.58,0.66,9,3,0.1,2,2,2,5,16.85111111111111,89.86
48.44,0.08,9,4,0.1,2,2,2,5,16.375555555555557,67.13000000000001
47.82,0.0,9,5,0.1,2,2,2,5,15.940000000000001,52.26800000000001
48.26,0.0,9,6,0.1,2,2,2,5,16.375555555555554,42.88333333333335
48.44,0.0,9,7,0.1,2,2,2,5,16.38444444444444,37.61714285714286
47.42,0.0,9,8,0.1,2,2,2,5,16.008888888888887,32.377500000000005
47.8,0.0,9,9,0.1,2,2,2,5,16.11333333333333,28.526666666666667
48.68,0.0,9,10,0.1,2,2,2,5,16.735555555555553,26.29
46.74,3.42,10,1,0.1,2,2,2,5,14.547999999999998,250.12
47.34,1.64,10,2,0.1,2,2,2,5,14.668000000000001,128.38
49.06,0.58,10,3,0.1,2,2,2,5,14.98,89.44666666666667
48.08,0.06,10,4,0.1,2,2,2,5,14.754,63.27
48.76,0.0,10,5,0.1,2,2,2,5,14.815999999999999,51.996
49.04,0.0,10,6,0.1,2,2,2,5,15.034,44.52666666666667
47.06,0.0,10,7,0.1,2,2,2,5,14.285999999999998,37.494285714285716
48.88,0.0,10,8,0.1,2,2,2,5,14.936000000000002,34.4325
48.0,0.0,10,9,0.1,2,2,2,5,14.876,28.793333333333333
49.56,0.0,10,10,0.1,2,2,2,5,15.030000000000005,27.287999999999993
87.38,59.04,1,1,0.3,2,2,2,5,432.32,477.72
138.18,10.64,1,2,0.3,2,2,2,5,423.62,377.04999999999995
138.94,9.66,1,3,0.3,2,2,2,5,429.4,250.16666666666666
139.46,9.64,1,4,0.3,2,2,2,5,428.72,188.915
140.3,9.44,1,5,0.3,2,2,2,5,430.8,153.868
139.34,8.32,1,6,0.3,2,2,2,5,422.24,126.05333333333334
140.1,8.9,1,7,0.3,2,2,2,5,428.28,109.11428571428571
140.74,9.42,1,8,0.3,2,2,2,5,430.68,95.00750000000001
138.78,9.42,1,9,0.3,2,2,2,5,425.18,82.52222222222223
139.32,9.06,1,10,0.3,2,2,2,5,426.3,76.84200000000001
88.4,58.38,2,1,0.3,2,2,2,5,222.43,480.9
141.0,6.82,2,2,0.3,2,2,2,5,217.07999999999998,376.6
143.48,3.96,2,3,0.3,2,2,2,5,218.97,260.3733333333334
140.58,2.94,2,4,0.3,2,2,2,5,215.89,191.195
143.46,2.8,2,5,0.3,2,2,2,5,219.54000000000002,156.244
142.26,2.64,2,6,0.3,2,2,2,5,217.88,127.80666666666667
142.6,2.7,2,7,0.3,2,2,2,5,220.04000000000002,110.25428571428571
142.4,2.6,2,8,0.3,2,2,2,5,217.10000000000002,96.55
144.1,2.78,2,9,0.3,2,2,2,5,221.07,86.87555555555554
141.04,2.68,2,10,0.3,2,2,2,5,216.31,76.266
87.92,57.46,3,1,0.3,2,2,2,5,145.63333333333333,478.26
141.6,7.76,3,2,0.3,2,2,2,5,146.21333333333334,387.32
143.86,3.38,3,3,0.3,2,2,2,5,146.29333333333332,258.6533333333333
142.92,2.14,3,4,0.3,2,2,2,5,146.17333333333332,192.34
142.64,1.58,3,5,0.3,2,2,2,5,144.17999999999998,155.21599999999998
142.56,1.24,3,6,0.3,2,2,2,5,146.35333333333332,126.89999999999999
141.86,1.34,3,7,0.3,2,2,2,5,144.70666666666668,110.27714285714286
139.82,1.26,3,8,0.3,2,2,2,5,142.06000000000003,94.15750000000001
143.0,1.3,3,9,0.3,2,2,2,5,145.42666666666665,86.01111111111112
144.42,1.42,3,10,0.3,2,2,2,5,146.62,77.98599999999999
88.16,54.28,4,1,0.3,2,2,2,5,107.63499999999998,479.38
139.24,6.46,4,2,0.3,2,2,2,5,108.70500000000001,379.21000000000004
144.38,3.7,4,3,0.3,2,2,2,5,110.35499999999999,262.34
143.1,1.98,4,4,0.3,2,2,2,5,108.61999999999999,191.525
143.36,1.2,4,5,0.3,2,2,2,5,109.19,155.79999999999998
142.86,0.42,4,6,0.3,2,2,2,5,109.7,128.16
143.72,0.38,4,7,0.3,2,2,2,5,110.20500000000001,113.04857142857145
146.04,0.46,4,8,0.3,2,2,2,5,111.86500000000001,98.28
142.36,0.38,4,9,0.3,2,2,2,5,107.56500000000001,86.07333333333334
144.9,0.38,4,10,0.3,2,2,2,5,110.67499999999998,79.512
87.56,55.62,5,1,0.3,2,2,2,5,86.612,480.5
141.34,7.08,5,2,0.3,2,2,2,5,86.99199999999999,379.38
142.94,3.58,5,3,0.3,2,2,2,5,86.83600000000001,258.9666666666667
143.18,2.14,5,4,0.3,2,2,2,5,88.652,196.27
141.14,1.02,5,5,0.3,2,2,2,5,86.04799999999999,152.332
141.5,0.12,5,6,0.3,2,2,2,5,86.78,127.06000000000002
139.02,0.02,5,7,0.3,2,2,2,5,84.49199999999999,107.69999999999997
145.62,0.02,5,8,0.3,2,2,2,5,88.37199999999999,98.6175
143.18,0.02,5,9,0.3,2,2,2,5,86.96000000000001,86.34444444444443
143.22,0.02,5,10,0.3,2,2,2,5,88.01599999999999,77.51599999999999
87.24,60.24,6,1,0.3,2,2,2,5,74.39,477.94
141.48,7.48,6,2,0.3,2,2,2,5,73.59666666666668,386.23
144.22,3.3,6,3,0.3,2,2,2,5,73.58,255.38
141.88,2.06,6,4,0.3,2,2,2,5,72.72666666666666,193.0
143.5,0.98,6,5,0.3,2,2,2,5,73.81666666666668,155.008
144.38,0.3,6,6,0.3,2,2,2,5,73.20666666666666,130.51666666666668
143.28,0.1,6,7,0.3,2,2,2,5,73.05333333333334,110.42857142857143
142.48,0.02,6,8,0.3,2,2,2,5,71.82333333333332,96.00500000000002
141.76,0.0,6,9,0.3,2,2,2,5,72.63333333333334,86.28888888888892
141.74,0.02,6,10,0.3,2,2,2,5,72.39,78.09399999999998
89.06,53.08,7,1,0.3,2,2,2,5,61.04571428571428,479.56
141.28,7.24,7,2,0.3,2,2,2,5,62.705714285714286,384.90999999999997
141.3,3.24,7,3,0.3,2,2,2,5,62.08571428571428,255.27999999999997
140.68,1.92,7,4,0.3,2,2,2,5,60.92857142857143,193.755
143.88,1.06,7,5,0.3,2,2,2,5,63.237142857142864,158.3
140.94,0.14,7,6,0.3,2,2,2,5,61.90571428571428,127.60333333333335
140.96,0.02,7,7,0.3,2,2,2,5,62.06571428571429,108.58285714285712
142.36,0.0,7,8,0.3,2,2,2,5,63.05428571428571,97.52499999999998
142.4,0.0,7,9,0.3,2,2,2,5,62.051428571428566,86.10666666666665
141.16,0.0,7,10,0.3,2,2,2,5,61.59142857142858,76.588
88.1,58.06,8,1,0.3,2,2,2,5,55.485,478.96
140.5,7.3,8,2,0.3,2,2,2,5,54.607499999999995,383.58000000000004
141.46,3.6,8,3,0.3,2,2,2,5,53.7675,253.61333333333334
143.54,2.14,8,4,0.3,2,2,2,5,55.285000000000004,197.555
140.74,1.08,8,5,0.3,2,2,2,5,53.555,152.708
139.86,0.28,8,6,0.3,2,2,2,5,53.1525,128.04999999999998
143.22,0.02,8,7,0.3,2,2,2,5,54.61749999999999,112.12000000000002
141.3,0.02,8,8,0.3,2,2,2,5,53.415,95.40749999999998
142.0,0.0,8,9,0.3,2,2,2,5,54.0725,85.97333333333334
143.94,0.0,8,10,0.3,2,2,2,5,54.877500000000005,78.89200000000001
87.78,58.3,9,1,0.3,2,2,2,5,49.43333333333334,479.74
139.18,6.48,9,2,0.3,2,2,2,5,47.37777777777777,375.52
142.52,3.64,9,3,0.3,2,2,2,5,48.193333333333335,258.8866666666666
143.14,2.08,9,4,0.3,2,2,2,5,49.00666666666666,195.675
142.76,0.98,9,5,0.3,2,2,2,5,48.693333333333335,156.056
145.06,0.36,9,6,0.3,2,2,2,5,49.142222222222216,131.75666666666666
142.24,0.04,9,7,0.3,2,2,2,5,48.76444444444445,109.53714285714285
144.1,0.0,9,8,0.3,2,2,2,5,48.82,98.70249999999999
141.68,0.0,9,9,0.3,2,2,2,5,47.91777777777778,86.24444444444445
140.64,0.0,9,10,0.3,2,2,2,5,48.02000000000001,76.594
87.72,57.1,10,1,0.3,2,2,2,5,43.772000000000006,479.44
143.94,8.14,10,2,0.3,2,2,2,5,44.626,393.0
143.92,3.76,10,3,0.3,2,2,2,5,44.324,261.17333333333335
141.94,2.12,10,4,0.3,2,2,2,5,43.122,195.83
143.44,0.82,10,5,0.3,2,2,2,5,44.444,157.27200000000002
142.16,0.28,10,6,0.3,2,2,2,5,43.264,128.45666666666668
144.84,0.06,10,7,0.3,2,2,2,5,43.958000000000006,112.59142857142857
141.36,0.0,10,8,0.3,2,2,2,5,43.098000000000006,95.49749999999999
142.44,0.0,10,9,0.3,2,2,2,5,43.604,86.36888888888888
143.76,0.0,10,10,0.3,2,2,2,5,44.019999999999996,77.762
88.68,153.34,1,1,0.5,2,2,2,5,481.54,480.92
155.18,83.62,1,2,0.5,2,2,2,5,481.14,420.39
157.32,86.02,1,3,0.5,2,2,2,5,482.16,286.49333333333334
157.52,83.38,1,4,0.5,2,2,2,5,481.74,213.69500000000002
157.14,82.66,1,5,0.5,2,2,2,5,481.32,168.85999999999999
157.66,83.8,1,6,0.5,2,2,2,5,482.04,144.10666666666665
157.38,83.02,1,7,0.5,2,2,2,5,481.86,121.11142857142856
158.02,80.92,1,8,0.5,2,2,2,5,481.08,106.83249999999998
157.04,81.88,1,9,0.5,2,2,2,5,481.78,94.63333333333333
157.82,82.46,1,10,0.5,2,2,2,5,481.8,85.38
87.46,151.72,2,1,0.5,2,2,2,5,365.63,480.28
176.08,62.86,2,2,0.5,2,2,2,5,360.59000000000003,478.01
234.0,12.04,2,3,0.5,2,2,2,5,362.88,427.41333333333336
239.32,6.92,2,4,0.5,2,2,2,5,367.92,323.525
237.5,5.36,2,5,0.5,2,2,2,5,364.88,258.004
236.94,5.34,2,6,0.5,2,2,2,5,365.64,214.52666666666667
238.42,5.22,2,7,0.5,2,2,2,5,367.18,186.69142857142856
235.56,5.16,2,8,0.5,2,2,2,5,361.59000000000003,160.4475
236.86,5.28,2,9,0.5,2,2,2,5,364.0,142.85333333333335
236.82,5.08,2,10,0.5,2,2,2,5,359.84000000000003,129.22
88.56,151.0,3,1,0.5,2,2,2,5,242.33333333333334,480.2
175.28,63.82,3,2,0.5,2,2,2,5,238.84666666666666,478.65
234.96,9.76,3,3,0.5,2,2,2,5,241.32666666666668,423.6933333333333
236.94,4.78,3,4,0.5,2,2,2,5,242.11333333333334,320.815
236.84,3.3,3,5,0.5,2,2,2,5,240.8066666666667,257.66400000000004
239.56,2.72,3,6,0.5,2,2,2,5,246.06666666666663,216.86333333333334
238.94,2.64,3,7,0.5,2,2,2,5,243.08666666666667,184.54857142857145
235.82,2.64,3,8,0.5,2,2,2,5,240.79999999999998,161.955
236.06,2.58,3,9,0.5,2,2,2,5,240.93999999999997,143.6733333333333
236.16,2.62,3,10,0.5,2,2,2,5,239.54,127.95599999999999
89.64,150.76,4,1,0.5,2,2,2,5,181.29500000000002,481.42
176.34,62.74,4,2,0.5,2,2,2,5,180.75,479.22
234.9,9.2,4,3,0.5,2,2,2,5,181.995,423.94
237.86,4.86,4,4,0.5,2,2,2,5,182.985,324.38
236.98,2.98,4,5,0.5,2,2,2,5,180.95000000000002,257.25199999999995
236.32,2.08,4,6,0.5,2,2,2,5,180.76500000000001,216.48333333333332
239.74,1.44,4,7,0.5,2,2,2,5,184.17499999999998,185.27142857142857
236.0,1.38,4,8,0.5,2,2,2,5,180.875,159.74749999999997
238.36,1.2,4,9,0.5,2,2,2,5,182.69500000000002,144.24444444444447
234.76,1.32,4,10,0.5,2,2,2,5,179.04999999999998,127.596
88.58,151.78,5,1,0.5,2,2,2,5,144.89600000000002,481.76
176.94,60.56,5,2,0.5,2,2,2,5,144.04,478.91999999999996
235.78,10.04,5,3,0.5,2,2,2,5,144.648,424.68
235.72,4.46,5,4,0.5,2,2,2,5,144.132,321.195
237.82,3.18,5,5,0.5,2,2,2,5,146.42800000000003,258.60800000000006
237.2,1.78,5,6,0.5,2,2,2,5,144.744,215.98333333333332
237.02,0.82,5,7,0.5,2,2,2,5,144.952,184.1342857142857
238.7,0.44,5,8,0.5,2,2,2,5,147.4,164.07250000000002
235.7,0.36,5,9,0.5,2,2,2,5,144.72,142.08222222222219
238.6,0.28,5,10,0.5,2,2,2,5,145.404,128.94400000000002
88.3,151.22,6,1,0.5,2,2,2,5,121.85333333333334,480.42
173.9,66.98,6,2,0.5,2,2,2,5,121.26666666666667,478.13
231.96,9.32,6,3,0.5,2,2,2,5,119.8,424.71999999999997
